업무명,업무구분,반복주기,담당자,마감일,진행상태,중요도,대표님보고,관련시스템,메모
입출금 내역 확인,경리,매일,경영지원,2026-06-10,진행중,높음,예,Excel,통장 입출금과 미처리 지출을 먼저 확인
통장 결제요청 확인,경리,매일,경영지원,2026-06-10,미완료,높음,예,Excel,오늘 지급해야 하는 요청 건 우선 처리
텔레그램 결제요청 확인 및 입금 처리,경리,매일,경영지원,2026-06-10,진행중,높음,예,카카오톡/문자,결제 요청 메시지 확인 후 처리 결과 표시
홈택스 지출 입력 확인,홈택스,매일,경영지원,2026-06-11,미완료,보통,아니오,홈택스,세금계산서와 지출 입력 누락 확인
고객상담 전화 내용 CRM 등록,고객상담,매일,경영지원,2026-06-10,미완료,높음,예,CRM 앱,상담 누락 시 고객 응대 이력 공백 발생
미팅 일정 CRM 등록,CRM,주간,경영지원,2026-06-12,진행중,보통,아니오,CRM 앱,확정 일정과 변경 요청을 함께 기록
대표님께 미팅 확정 요청 전달,CRM,주간,경영지원,2026-06-10,미완료,높음,예,카카오톡/문자,대표님 확인 필요
신규 직원 입사서류 확인,인사,일회성,경영지원,2026-06-13,보류,보통,예,Excel,주민등록등본 등 민감정보는 원본 확인만
4대보험 취득신고 확인,4대보험,월간,경영지원,2026-06-09,진행중,높음,예,4대보험 EDI,마감일 지남 처리 상태 확인 필요
고용산재 개시신고 확인,고용산재,월간,경영지원,2026-06-14,미완료,보통,예,고용산재 토탈서비스,현장별 신고 필요 여부 확인
KISCON 등록 일정 확인,KISCON,월간,경영지원,2026-06-07,미완료,높음,예,KISCON,공사 일정 변경 반영 필요
공사 계약서 PDF 정리,공무,주간,경영지원,2026-06-15,진행중,보통,아니오,PDF,현장명 기준으로 파일명 정리
인건비 계산서 발행 여부 확인,경리,월간,경영지원,2026-06-16,미완료,보통,예,홈택스,월말 전 누락 여부 확인
월별 지출현황 정리,경리,월간,경영지원,2026-06-17,진행중,높음,예,Excel,대표님 보고용 요약 포함
미완료 업무 대표님 보고,총무,매일,경영지원,2026-06-10,미완료,높음,예,기타,오늘 우선 처리 목록과 지연 업무 보고
